Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
predictions;lreg.cpp;203;1.8093714714050293;0-10;Random bit-flip
predictions;lreg.cpp;203;2.190706729888916;0-10;Random bit-flip
a2;lreg.cpp;45;5.230607986450195;0-10;Random bit-flip
testCases;lreg.cpp;195;2.4673025608062744;0-10;Random bit-flip
testCases;lreg.cpp;195;4.497980833053589;0-10;Random bit-flip
iterations;lreg.cpp;141;2.86879563331604;0-10;Random bit-flip
predictions;lreg.cpp;203;4.331670522689819;0-10;Random bit-flip
predictions;lreg.cpp;203;2.6498725414276123;0-10;Random bit-flip
INF;../sysdeps/ieee754/dbl-64/upow.h;48;5.157032489776611;0-10;Random bit-flip
iterations;lreg.cpp;141;6.58737850189209;0-10;Random bit-flip
testCases;lreg.cpp;195;1.5332262516021729;0-10;Random bit-flip
error;lreg.cpp;86;3.4302725791931152;0-10;Random bit-flip
iterations;lreg.cpp;141;2.271404981613159;0-10;Random bit-flip
audit_list_string;rtld.c;134;1.3485662937164307;0-10;Random bit-flip
preload_file;rtld.c;1630;1.5836327075958252;0-10;Random bit-flip
_dl_rtld_libname2;rtld.c;302;1.7132134437561035;0-10;Random bit-flip
_rtld_global;rtld.c;231;2.0207300186157227;0-10;Random bit-flip
i3;lreg.cpp;73;2.766690731048584;0-10;Random bit-flip
iterations;lreg.cpp;141;6.116523742675781;0-10;Random bit-flip
x;w_pow_compat.c;28;4.4566490650177;0-10;Random bit-flip
testCases;lreg.cpp;195;3.2568256855010986;0-10;Random bit-flip
a2;lreg.cpp;45;9.96578860282898;0-10;Random bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;1.7220253944396973;0-10;Random bit-flip
__GI__dl_argv;rtld.c;83;2.2349650859832764;0-10;Random bit-flip
load_time;rtld.c;307;2.0985682010650635;0-10;Random bit-flip
start_time;rtld.c;308;2.3469648361206055;0-10;Random bit-flip
y;w_pow_compat.c;28;2.8309688568115234;0-10;Random bit-flip
y;lreg.cpp;42;3.552503824234009;0-10;Random bit-flip
a2;lreg.cpp;45;7.398847818374634;0-10;Random bit-flip
i1;lreg.cpp;87;4.25389289855957;0-10;Random bit-flip
y;lreg.cpp;42;7.024903059005737;0-10;Random bit-flip
a2;lreg.cpp;45;5.45226526260376;0-10;Random bit-flip
preloadlist;rtld.c;825;2.644286870956421;0-10;Random bit-flip
version_info;rtld.c;827;2.2159581184387207;0-10;Random bit-flip
__y;/usr/include/c++/7/cmath;415;3.062541961669922;0-10;Random bit-flip
a3;lreg.cpp;45;6.603361129760742;0-10;Random bit-flip
y;lreg.cpp;42;3.0229642391204834;0-10;Random bit-flip
T;lreg.cpp;43;3.7544398307800293;0-10;Random bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;1.1389119625091553;0-10;Random bit-flip
a1;lreg.cpp;45;2.7387397289276123;0-10;Random bit-flip
predictions;lreg.cpp;203;2.321108341217041;0-10;Random bit-flip
any_debug;rtld.c;2322;2.6094510555267334;0-10;Random bit-flip
bestT;lreg.cpp;151;3.7382538318634033;0-10;Random bit-flip
bigv;../sysdeps/ieee754/dbl-64/upow.h;53;2.8875341415405273;0-10;Random bit-flip
error;lreg.cpp;86;5.687328100204468;0-10;Random bit-flip
iterations;lreg.cpp;203;7.729635953903198;0-10;Random bit-flip
N;lreg.cpp;203;7.943833351135254;0-10;Random bit-flip
predictions;lreg.cpp;203;6.475397348403931;0-10;Random bit-flip
start_time;rtld.c;308;2.624547004699707;0-10;Random bit-flip
preload_file;rtld.c;1630;2.1130943298339844;0-10;Random bit-flip
iterations;lreg.cpp;203;5.4199934005737305;0-10;Random bit-flip
predictions;lreg.cpp;203;2.2558846473693848;0-10;Random bit-flip
iterations;lreg.cpp;141;3.770519495010376;0-10;Random bit-flip
iterations;lreg.cpp;141;4.147904396057129;0-10;Random bit-flip
predictions;lreg.cpp;203;1.8652796745300293;0-10;Random bit-flip
stopsWhenStable;lreg.cpp;141;4.718750953674316;0-10;Random bit-flip
iterations;lreg.cpp;141;2.1967313289642334;0-10;Random bit-flip
iterations;lreg.cpp;141;6.350135803222656;0-10;Random bit-flip
a2;lreg.cpp;45;5.615999460220337;0-10;Random bit-flip
a1;lreg.cpp;45;6.705176115036011;0-10;Random bit-flip
any_debug;rtld.c;2322;2.060898542404175;0-10;Random bit-flip
testCases;lreg.cpp;195;0.8039021492004395;0-10;Random bit-flip
iterations;lreg.cpp;141;2.6944844722747803;0-10;Random bit-flip
predictions;lreg.cpp;203;2.4030046463012695;0-10;Random bit-flip
iterations;lreg.cpp;203;3.692094564437866;0-10;Random bit-flip
a3;lreg.cpp;45;6.449336290359497;0-10;Random bit-flip
any_debug;rtld.c;2322;1.4487242698669434;0-10;Random bit-flip
testCases;lreg.cpp;195;2.7149384021759033;0-10;Random bit-flip
b;lreg.cpp;47;3.6829230785369873;0-10;Random bit-flip
y;lreg.cpp;42;3.6314964294433594;0-10;Random bit-flip
predictions;lreg.cpp;203;4.9103028774261475;0-10;Random bit-flip
i2;lreg.cpp;73;6.779523611068726;0-10;Random bit-flip
T;lreg.cpp;43;2.087552785873413;0-10;Random bit-flip
__pointer_chk_guard_local;rtld.c;96;1.4903197288513184;0-10;Random bit-flip
testCases;lreg.cpp;195;6.837663650512695;0-10;Random bit-flip
iterations;lreg.cpp;141;6.560066223144531;0-10;Random bit-flip
iterations;lreg.cpp;141;4.061870574951172;0-10;Random bit-flip
iterations;lreg.cpp;141;5.743109703063965;0-10;Random bit-flip
iterations;lreg.cpp;141;2.4096086025238037;0-10;Random bit-flip
predictions;lreg.cpp;203;3.3881380558013916;0-10;Random bit-flip
predictions;lreg.cpp;203;2.54761004447937;0-10;Random bit-flip
iterations;lreg.cpp;141;4.925705909729004;0-10;Random bit-flip
iterations;lreg.cpp;141;2.0401902198791504;0-10;Random bit-flip
testCases;lreg.cpp;195;2.4922633171081543;0-10;Random bit-flip
predictions;lreg.cpp;203;7.67431640625;0-10;Random bit-flip
version_info;rtld.c;827;1.5647046566009521;0-10;Random bit-flip
iterations;lreg.cpp;141;1.2760708332061768;0-10;Random bit-flip
_rtld_global_ro;rtld.c;259;2.373359203338623;0-10;Random bit-flip
iterations;lreg.cpp;141;2.9634199142456055;0-10;Random bit-flip
preloadlist;rtld.c;825;2.419630289077759;0-10;Random bit-flip
i3;lreg.cpp;119;2.4178171157836914;0-10;Random bit-flip
i2;lreg.cpp;198;3.1555557250976562;0-10;Random bit-flip
iterations;lreg.cpp;141;3.332462787628174;0-10;Random bit-flip
i3;lreg.cpp;154;3.2089948654174805;0-10;Random bit-flip
testCases;lreg.cpp;195;2.259340286254883;0-10;Random bit-flip
N;lreg.cpp;203;3.7449049949645996;0-10;Random bit-flip
iterations;lreg.cpp;141;1.7889604568481445;0-10;Random bit-flip
testCases;lreg.cpp;195;2.0450291633605957;0-10;Random bit-flip
stopsWhenStable;lreg.cpp;141;5.54911208152771;0-10;Random bit-flip
iterations;lreg.cpp;141;2.400656223297119;0-10;Random bit-flip
a3;lreg.cpp;45;1.7804126739501953;0-10;Random bit-flip
i3;lreg.cpp;73;3.714273691177368;0-10;Random bit-flip
iterations;lreg.cpp;141;3.7850446701049805;0-10;Random bit-flip
y;w_pow_compat.c;28;6.444985628128052;0-10;Random bit-flip
testCases;lreg.cpp;195;1.5198719501495361;0-10;Random bit-flip
y;lreg.cpp;42;6.682130575180054;0-10;Random bit-flip
a1;lreg.cpp;45;3.058115005493164;0-10;Random bit-flip
a3;lreg.cpp;45;6.8545873165130615;0-10;Double bit-flip
a2;lreg.cpp;45;5.70630407333374;0-10;Double bit-flip
a3;lreg.cpp;45;10.168211936950684;0-10;Double bit-flip
i2;lreg.cpp;103;9.025265455245972;0-10;Double bit-flip
predictions;lreg.cpp;203;8.230340003967285;0-10;Double bit-flip
iterations;lreg.cpp;141;2.1759350299835205;0-10;Double bit-flip
start_time;rtld.c;308;1.7493047714233398;0-10;Double bit-flip
alpha;lreg.cpp;202;3.030916929244995;0-10;Double bit-flip
i2;lreg.cpp;119;2.0538785457611084;0-10;Double bit-flip
audit_list;rtld.c;142;1.991645097732544;0-10;Double bit-flip
iterations;lreg.cpp;141;3.489856004714966;0-10;Double bit-flip
a3;lreg.cpp;45;3.193143367767334;0-10;Double bit-flip
a3;lreg.cpp;45;3.9394187927246094;0-10;Double bit-flip
predictions;lreg.cpp;203;5.3310956954956055;0-10;Double bit-flip
stopsWhenStable;lreg.cpp;141;3.613374948501587;0-10;Double bit-flip
i1;lreg.cpp;154;2.4092495441436768;0-10;Double bit-flip
start_time;rtld.c;308;2.0646591186523438;0-10;Double bit-flip
testCases;lreg.cpp;195;3.506276845932007;0-10;Double bit-flip
bestT;lreg.cpp;151;3.101907968521118;0-10;Double bit-flip
i2;lreg.cpp;154;6.89803671836853;0-10;Double bit-flip
i2;lreg.cpp;154;8.779109954833984;0-10;Double bit-flip
testCases;lreg.cpp;195;2.446845293045044;0-10;Double bit-flip
predictions;lreg.cpp;203;7.143243312835693;0-10;Double bit-flip
predictions;lreg.cpp;203;1.7807118892669678;0-10;Double bit-flip
predictions;lreg.cpp;203;6.332932233810425;0-10;Double bit-flip
temp;lreg.cpp;202;2.799753427505493;0-10;Double bit-flip
iterations;lreg.cpp;141;1.9343304634094238;0-10;Double bit-flip
testCases;lreg.cpp;195;1.8011775016784668;0-10;Double bit-flip
x;lreg.cpp;41;2.2948625087738037;0-10;Double bit-flip
x;lreg.cpp;41;4.7950170040130615;0-10;Double bit-flip
testCases;lreg.cpp;195;6.718204498291016;0-10;Double bit-flip
iterations;lreg.cpp;141;2.1926777362823486;0-10;Double bit-flip
testCases;lreg.cpp;195;3.746938705444336;0-10;Double bit-flip
testCases;lreg.cpp;195;4.868209600448608;0-10;Double bit-flip
testCases;lreg.cpp;195;3.500944137573242;0-10;Double bit-flip
iterations;lreg.cpp;141;1.0638949871063232;0-10;Double bit-flip
