Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;1.4597673416137695;0-10;Double bit-flip
ln2b;../sysdeps/ieee754/dbl-64/upow.h;51;4.038433074951172;0-10;Double bit-flip
pos;lreg.cpp;101;4.073515892028809;0-10;Double bit-flip
pos;lreg.cpp;101;7.32215428352356;0-10;Double bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;2.6926918029785156;0-10;Double bit-flip
pos;lreg.cpp;101;3.391266107559204;0-10;Double bit-flip
pD;lreg.cpp;102;3.759035348892212;0-10;Double bit-flip
bigu;../sysdeps/ieee754/dbl-64/upow.h;52;1.7235374450683594;0-10;Double bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;4.275778293609619;0-10;Double bit-flip
pos;lreg.cpp;101;2.459386110305786;0-10;Double bit-flip
iterations;lreg.cpp;141;3.202108144760132;0-10;Double bit-flip
iterations;lreg.cpp;141;2.3824310302734375;0-10;Double bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;6.669151306152344;0-10;Double bit-flip
predictions;lreg.cpp;203;2.9500231742858887;0-10;Double bit-flip
predictions;lreg.cpp;203;4.511898040771484;0-10;Double bit-flip
x;lreg.cpp;41;2.344015598297119;0-10;Double bit-flip
y;lreg.cpp;42;2.914888858795166;0-10;Double bit-flip
x;lreg.cpp;41;1.344564437866211;0-10;Double bit-flip
x;lreg.cpp;41;2.622413158416748;0-10;Double bit-flip
x;lreg.cpp;41;3.037207841873169;0-10;Double bit-flip
