numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
8;1006.3456051699837;16.090947100165245;277.6844249028574;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;809.1230964903234;3.949568956935513;239.62241089242107;0;0;0;0;0;0;0;0;1;1;1;1;1;1
8;0.5836856759822553;0.00024180171293740907;0.11412057532228333;6;6;6;7;7;8;8;8;8;8;8;8;8;8
8;6.1143101211756894e+44;5.19225877419133e+44;5.789648243932816e+44;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1061.0223093052834;19.10675533079818;288.70233696512815;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0.013749957031391312;0.00010502602020261701;0.00421091151463431;6;6;6;6;6;6;6;6;6;6;6;6;6;6
6;3.8321272724785576e+89;1.3010629713270596e+89;2.0671566998758514e+89;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;54025987418889.31;1171785810034.4111;13339333045218.459;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.000181123326868985;0.000181123326868985;0.000181123326868985;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;340.37674882265986;7.243451003394827;148.6474061875868;0;0;0;0;0;0;0;0;0;0;1;1;1;1
6;12453.101103921863;823.6313750208561;3762.262979067958;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;6.550926403354989e+80;2.0015123746908293e+78;1.3127545989454895e+80;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;6.313711475589238e+20;2.1435969184861802e+20;3.405792670713122e+20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.000181123326868985;0.000181123326868985;0.000181123326868985;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0.0005273093512963627;0.0005273093512963627;0.0005273093512963627;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;6.883352940371805e+145;2.3369984847869122e+145;3.713073219276627e+145;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1.9188787293953755;1.6754322642741626;1.8368925003449874;0;0;0;0;0;0;8;8;8;8;8;8;8;8
8;1089.2200336873946;20.66169590061124;294.3845163838658;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1.7883200562939467e+217;4.064529075350811e+144;2.4601065869938716e+216;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1.6921453370458214e+120;3.7482736347930204e+118;4.183953254503797e+119;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1004.8159224502424;16.006828996356546;277.3761550481567;0;0;0;0;0;0;0;0;0;0;0;0;0;0
