Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
i1;lreg.cpp;191;1.1741447448730469;0-3;Single bit-flip;1
x;lreg.cpp;34;4.204418897628784;0-3;Single bit-flip;1
i2;lreg.cpp;141;0.5948858261108398;0-3;Single bit-flip;1
pos2;lreg.cpp;138;1.483210563659668;0-3;Single bit-flip;1
i2;lreg.cpp;141;2.0946974754333496;0-3;Single bit-flip;1
i2;lreg.cpp;155;1.0825839042663574;0-3;Single bit-flip;1
pos1;lreg.cpp;138;1.487130880355835;0-3;Single bit-flip;1
i2;lreg.cpp;127;1.8776352405548096;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.165238380432129;0-3;Single bit-flip;1
i2;lreg.cpp;232;2.2291650772094727;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;2.3741531372070312;0-3;Single bit-flip;1
i2;lreg.cpp;115;1.7080638408660889;0-3;Single bit-flip;1
i2;lreg.cpp;191;1.3532891273498535;0-3;Single bit-flip;1
i1;lreg.cpp;115;2.654621124267578;0-3;Single bit-flip;1
i1;lreg.cpp;191;2.6516897678375244;0-3;Single bit-flip;1
T2;lreg.cpp;37;1.8322880268096924;0-3;Single bit-flip;1
i1;lreg.cpp;191;2.288952350616455;0-3;Single bit-flip;1
i2;lreg.cpp;141;3.0743772983551025;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.254277467727661;0-3;Single bit-flip;1
y;lreg.cpp;35;0.9852886199951172;0-3;Single bit-flip;1
i1;lreg.cpp;232;1.6504926681518555;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;0.9946186542510986;0-3;Single bit-flip;1
i1;lreg.cpp;115;2.8747622966766357;0-3;Single bit-flip;1
i2;lreg.cpp;127;2.2092270851135254;0-3;Single bit-flip;1
T1;lreg.cpp;36;2.1111133098602295;0-3;Single bit-flip;1
pos1;lreg.cpp;138;1.3912322521209717;0-3;Single bit-flip;1
pos1;lreg.cpp;138;1.2383549213409424;0-3;Single bit-flip;1
i2;lreg.cpp;155;1.6049420833587646;0-3;Single bit-flip;1
y;lreg.cpp;35;2.1215319633483887;0-3;Single bit-flip;1
i2;lreg.cpp;141;2.279050588607788;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;2.5511581897735596;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.5035781860351562;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;1.683495283126831;0-3;Single bit-flip;1
iter2;lreg.cpp;177;0.6980164051055908;0-3;Single bit-flip;1
T2;lreg.cpp;37;2.5165598392486572;0-3;Single bit-flip;1
i2;lreg.cpp;141;1.5549235343933105;0-3;Single bit-flip;1
i2;lreg.cpp;127;2.33858585357666;0-3;Single bit-flip;1
i2;lreg.cpp;155;1.3326606750488281;0-3;Single bit-flip;1
i2;lreg.cpp;141;1.126044750213623;0-3;Single bit-flip;1
pos2;lreg.cpp;138;1.7071707248687744;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.8666596412658691;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;2.91650390625;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;2.0155248641967773;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;1.8347971439361572;0-3;Single bit-flip;1
pred2;lreg.cpp;238;1.8752179145812988;0-3;Single bit-flip;1
T2;lreg.cpp;37;1.374162197113037;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;1.6672906875610352;0-3;Single bit-flip;1
y;lreg.cpp;35;2.01570987701416;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;1.8179948329925537;0-3;Single bit-flip;1
x;lreg.cpp;34;3.004905939102173;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.098858594894409;0-3;Single bit-flip;1
T2;lreg.cpp;37;1.6203672885894775;0-3;Single bit-flip;1
x;lreg.cpp;34;1.289597749710083;0-3;Single bit-flip;1
y;lreg.cpp;35;2.738560438156128;0-3;Single bit-flip;1
T1;lreg.cpp;36;2.2618508338928223;0-3;Single bit-flip;1
i2;lreg.cpp;191;1.7524356842041016;0-3;Single bit-flip;1
i1;lreg.cpp;127;1.9631190299987793;0-3;Single bit-flip;1
i1;lreg.cpp;232;1.3394193649291992;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.8264000415802002;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.3135011196136475;0-3;Single bit-flip;1
i2;lreg.cpp;155;1.6463141441345215;0-3;Single bit-flip;1
T2;lreg.cpp;37;2.726839542388916;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;2.087965965270996;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.9037067890167236;0-3;Single bit-flip;1
i1;lreg.cpp;115;0.8403439521789551;0-3;Single bit-flip;1
iter1;lreg.cpp;177;3.1066110134124756;0-3;Single bit-flip;1
i2;lreg.cpp;115;0.9577443599700928;0-3;Single bit-flip;1
